Brand,Tagline,Product Description,completion,prompt
Ninja 2,"A bombastic combination of health, style, and technology – Ninja 2: the smart health band that has it all. ","Ninja 2 Smartwatch comes with a charging cable and a battery backup of 5 days. The smartwatch cum health band is a touch-to-wake featuring gadget that comes with an entire metal body and durable silicon bands. It is lightweight and easy to use with its user-friendly interface. The watch monitors health and fitness with seven distinct sports modes for Running, Walking, Cycling, Basketball, Badminton, Football, and Skipping. This one-of-a-kind smartwatch is all you need to offer you the motivation to achieve all that you desire and all that you deserve. ",Watch? Health Monitor? Stylish Band? Why not enjoy all with Ninja 2 Smart Digital Health Band.,"Brand: Ninja 2\nTagline: A bombastic combination of health, style, and technology – Ninja 2: the smart health band that has it all. \nProductDescription: Ninja 2 Smartwatch comes with a charging cable and a battery backup of 5 days. The smartwatch cum health band is a touch-to-wake featuring gadget that comes with an entire metal body and durable silicon bands. It is lightweight and easy to use with its user-friendly interface. The watch monitors health and fitness with seven distinct sports modes for Running, Walking, Cycling, Basketball, Badminton, Football, and Skipping. This one-of-a-kind smartwatch is all you need to offer you the motivation to achieve all that you desire and all that you deserve. "
Nivea Men Face Wash,"A skincare product for men launched by Nivea that helps in cleansing men's skin, making it feel fresh and smooth. ","Nivea Men Face Wash is the one thing you need for all your skin problems. The formula enriched with natural charcoal extracts, it helps in providing oil and acne control, leaving behind smooth skin. The cooling menthol present helps purify your skin, providing you with long-lasting refreshed skin.","Refreshed, smooth and oil-free skin is waiting for you! Get Nivea Men Face Wash today and unlock flawless skin. ","Brand: Nivea Men Face Wash\nTagline: A skincare product for men launched by Nivea that helps in cleansing men's skin, making it feel fresh and smooth. \nProductDescription: Nivea Men Face Wash is the one thing you need for all your skin problems. The formula enriched with natural charcoal extracts, it helps in providing oil and acne control, leaving behind smooth skin. The cooling menthol present helps purify your skin, providing you with long-lasting refreshed skin."
Windscribe,A Toronto-based VPN provider ensuring a secured network for 25 million users.,"No more vulnerable networks and no more restrictions on entertainment content. With Windscribe, you get 100% secure and private internet browsing and access to blocked geographically restricted content without hurting your pocket. These features are available for all of your devices from Android phone to your iPad to your Macbook. All you need to do is download our free app and change the way you browse the internet. ",Protect your privacy on the web with Windscribe.,"Brand: Windscribe\nTagline: A Toronto-based VPN provider ensuring a secured network for 25 million users.\nProductDescription: No more vulnerable networks and no more restrictions on entertainment content. With Windscribe, you get 100% secure and private internet browsing and access to blocked geographically restricted content without hurting your pocket. These features are available for all of your devices from Android phone to your iPad to your Macbook. All you need to do is download our free app and change the way you browse the internet. "
Inshorts,"An innovative mobile application providing crisp, precise, and clutter-free news",No one has the time these days to read through news epics. Inshorts specifically focus on the essential facts of the news and nothing else. So we thought of building something that we ourselves would want to use. It is value-driven and does not compromise on anything that is close to opinionating and storytelling.,A one-stop solution for uninspired readers. Quick news updates at your fingertips!,"Brand: Inshorts\nTagline: An innovative mobile application providing crisp, precise, and clutter-free news\nProductDescription: No one has the time these days to read through news epics. Inshorts specifically focus on the essential facts of the news and nothing else. So we thought of building something that we ourselves would want to use. It is value-driven and does not compromise on anything that is close to opinionating and storytelling."
Baby Hug,Are germs stopping you from giving your munchkins a tight warm hug? Baby Hug kid's hand sanitizer is here to kick out all germs and keep them safe.,"Normal hand sanitizers contain chemicals that can harm your baby's skin and health. But with Baby Hug kid's hand sanitizer, you can give your munchkin safe protection from germs without exposing them to harmful sulfates. This sanitizer comes in attractive pump bottles with fun designs. It is skin-friendly and has moisturizing properties that enrich the skin while fighting germs. You no longer need to worry about unsafe sanitizers; enjoy fun, safe and healthy hygiene with Baby Hug. ","Skeptical about regular chemical-filled sanitizers? Baby Hug kid's hand sanitizers are the solution to your fear. Enjoy kids-friendly hygiene with fun fragrances, enjoy Baby Hug. ","Brand: Baby Hug\nTagline: Are germs stopping you from giving your munchkins a tight warm hug? Baby Hug kid's hand sanitizer is here to kick out all germs and keep them safe.\nProductDescription: Normal hand sanitizers contain chemicals that can harm your baby's skin and health. But with Baby Hug kid's hand sanitizer, you can give your munchkin safe protection from germs without exposing them to harmful sulfates. This sanitizer comes in attractive pump bottles with fun designs. It is skin-friendly and has moisturizing properties that enrich the skin while fighting germs. You no longer need to worry about unsafe sanitizers; enjoy fun, safe and healthy hygiene with Baby Hug. "
Lenskart,Invest in India's first and only brand to use robotic technology that delivers perfect glasses as per the wearer.,"Not all good things in the world are expensive. Lenskart's prices are lower than any of your local opticians. Their products come directly from the manufacturers, hence there are no extra or hidden middleman charges. True make eyewear for men, women, and kids, everyone gets their first frame free from Lenskart.","From sunglasses to reading glasses to contact lenses, we make everything that can help you see with more clarity.","Brand: Lenskart\nTagline: Invest in India's first and only brand to use robotic technology that delivers perfect glasses as per the wearer.\nProductDescription: Not all good things in the world are expensive. Lenskart's prices are lower than any of your local opticians. Their products come directly from the manufacturers, hence there are no extra or hidden middleman charges. True make eyewear for men, women, and kids, everyone gets their first frame free from Lenskart."
Casio watches,No detail is too small at Casio. Each watch is defined by its minimalism.,"Not just in terms of durability, Casio watches offer a plethora of features over any watch company in the world. Not only do the watches stand out in terms of durability and ruggedness, but it also allows wearers to view the time to the second with incomparable digital accuracy. World-timer, chronograph, and Bluetooth connectivity - Casio watch features are immense. With just the touch of a button, you get to know whether you’re moving in the right direction or even scaling a mountain.","Designed for absolute toughness, style, and sleek comfort.","Brand: Casio watches\nTagline: No detail is too small at Casio. Each watch is defined by its minimalism.\nProductDescription: Not just in terms of durability, Casio watches offer a plethora of features over any watch company in the world. Not only do the watches stand out in terms of durability and ruggedness, but it also allows wearers to view the time to the second with incomparable digital accuracy. World-timer, chronograph, and Bluetooth connectivity - Casio watch features are immense. With just the touch of a button, you get to know whether you’re moving in the right direction or even scaling a mountain."
Notability,"A leading note-taking app for Mac and iOS devices, developed in California.","Notability is a simple yet powerful note-taking app that records your every great thought. Our user interface is intuitive and minimal, so that nothing distracts you from your study or work mode. You can share your notes to Notability Gallery, where you can find and download great notes from other users as well.",You think note-taking is boring. You haven't tried Notability yet.,"Brand: Notability\nTagline: A leading note-taking app for Mac and iOS devices, developed in California.\nProductDescription: Notability is a simple yet powerful note-taking app that records your every great thought. Our user interface is intuitive and minimal, so that nothing distracts you from your study or work mode. You can share your notes to Notability Gallery, where you can find and download great notes from other users as well."
Nykaa,A makeup and personal care e-commerce brand passionate about beauty.,"Nykaa is an e-retailing beauty and personal care brand in India. It believes in the thought that beauty doesn't have age or standards. The brand is in sync with the message that beauty is all about being comfortable in your skin. They cater to all your wellness needs by offering a wide variety of products. Their best in class products ranges from makeup, skincare, hair-care, and personal care.","Say hello to beauty, make up, and lifestyle while falling in love with yourself.","Brand: Nykaa\nTagline: A makeup and personal care e-commerce brand passionate about beauty.\nProductDescription: Nykaa is an e-retailing beauty and personal care brand in India. It believes in the thought that beauty doesn't have age or standards. The brand is in sync with the message that beauty is all about being comfortable in your skin. They cater to all your wellness needs by offering a wide variety of products. Their best in class products ranges from makeup, skincare, hair-care, and personal care."
Nykaa,A makeup and personal care e-commerce brand passionate about beauty.,"Nykaa is an Indian e-commerce company curated specially for all the beauty buffs. Finding genuine products is no longer a hassle with Nykaa. It has more than 400 brands wih over 35,000 products in its kitty thats available both for physical and digital customers.","Say hello to beauty, make up, and lifestyle while falling in love with yourself.","Brand: Nykaa\nTagline: A makeup and personal care e-commerce brand passionate about beauty.\nProductDescription: Nykaa is an Indian e-commerce company curated specially for all the beauty buffs. Finding genuine products is no longer a hassle with Nykaa. It has more than 400 brands wih over 35,000 products in its kitty thats available both for physical and digital customers."
Odonil,"Good fragrance and blissful times, infuse freshness all around your house with Odonil room and bathroom fresheners. ","Odonil is a brand dedicated to infusing freshness in your house. This Indian brand offers a range of fresh fragrances that last long and cast away all foul odors from your bedroom, bathroom, cupboards, and other parts of your home sweet home. ",What makes your home beam with freshness? It’s the range of Odonil fragrances ready to let your space go alive.,"Brand: Odonil\nTagline: Good fragrance and blissful times, infuse freshness all around your house with Odonil room and bathroom fresheners. \nProductDescription: Odonil is a brand dedicated to infusing freshness in your house. This Indian brand offers a range of fresh fragrances that last long and cast away all foul odors from your bedroom, bathroom, cupboards, and other parts of your home sweet home. "
Fittr,"Achieve your fitness goal with the right diet, workout, and healthy lifestyle","Often talking about the body and mental issues come with the fear of judgment from people around you. Fittr offers a positive environment with a human touch that inspires you to start and continue your journey toward fitness. Also, join Fittr's community to connect with other fitness enthusiasts and listen to inspiring stories.","Learn, transform, inspire and explore to adopt a healthy lifestyle for a fitter tomorrow","Brand: Fittr\nTagline: Achieve your fitness goal with the right diet, workout, and healthy lifestyle\nProductDescription: Often talking about the body and mental issues come with the fear of judgment from people around you. Fittr offers a positive environment with a human touch that inspires you to start and continue your journey toward fitness. Also, join Fittr's community to connect with other fitness enthusiasts and listen to inspiring stories."
Attensi,A platform that offers employee training and promises to unleash the potential of your employees.,"Onboarding and training your staff can be a tiresome process. That is why Attensi brings you an innovative method of training your new employees through 3D gamified simulation training. It simulates any form of human interaction, from dialogues to the use of machines and equipments, for creating an authentic atmosphere for training. So, our brand allow you to train your employees effectively so they can become a great fit for your company quickly. ",Training your employees and getting them up to speed can be tough. But that is not the case with Attensi's gamified training.,"Brand: Attensi\nTagline: A platform that offers employee training and promises to unleash the potential of your employees.\nProductDescription: Onboarding and training your staff can be a tiresome process. That is why Attensi brings you an innovative method of training your new employees through 3D gamified simulation training. It simulates any form of human interaction, from dialogues to the use of machines and equipments, for creating an authentic atmosphere for training. So, our brand allow you to train your employees effectively so they can become a great fit for your company quickly. "
Smytten,"Smytten is an online brand that provides skin and hair care products for men and women, along with some luxury household items.","One of India's largest premium discovery and trial platforms, Smytten offers you a specially curated online shopping experience hassle-free. Enjoy free samples and similar products on the Smytten app and try something new before buying it.","Try something new before you buy!
Indulge in our branded skin and hair care products but not before you sample them. Shop for all the samples now!","Brand: Smytten\nTagline: Smytten is an online brand that provides skin and hair care products for men and women, along with some luxury household items.\nProductDescription: One of India's largest premium discovery and trial platforms, Smytten offers you a specially curated online shopping experience hassle-free. Enjoy free samples and similar products on the Smytten app and try something new before buying it."
Smytten,"Smytten is an online brand that provides skin and hair care products for men and women, along with some luxury household items.","One of India's largest premium discovery and trial platforms, Smytten offers you a specially curated online shopping experience hassle-free. Our product range includes free Trials from 500+ Premium Indian & International brands and 700+ Premium Brands across categories like Makeup, Skincare, Fragrances, Grooming, Bath & Body, Baby Care, Food & Beverages. Even find Smart Technology and much more on our platform.","Try something new before you buy!
Indulge in our branded skin and hair care products but not before you sample them. Shop for all the samples now!","Brand: Smytten\nTagline: Smytten is an online brand that provides skin and hair care products for men and women, along with some luxury household items.\nProductDescription: One of India's largest premium discovery and trial platforms, Smytten offers you a specially curated online shopping experience hassle-free. Our product range includes free Trials from 500+ Premium Indian & International brands and 700+ Premium Brands across categories like Makeup, Skincare, Fragrances, Grooming, Bath & Body, Baby Care, Food & Beverages. Even find Smart Technology and much more on our platform."
Santander UK,Santander UK is a leading bank in the Great Britain. The financial services company offers several personal and commercial financial products and services.,"One of the best banks in the UK, Santander has helped millions of people realize their dreams. We provide various loans to customers, such as corporate loans and mortgage loans. Most of our financial services are available online, making lives of our customers easy as they can perform any banking activity from the comfort of their homes.",We are your partner every step of the way in helping you and your business prosper. Visit your nearest Santander branch and don't let finances hold you back in life.,"Brand: Santander UK\nTagline: Santander UK is a leading bank in the Great Britain. The financial services company offers several personal and commercial financial products and services.\nProductDescription: One of the best banks in the UK, Santander has helped millions of people realize their dreams. We provide various loans to customers, such as corporate loans and mortgage loans. Most of our financial services are available online, making lives of our customers easy as they can perform any banking activity from the comfort of their homes."
Gucci,"An Italian luxury brand which believes ""quality is remembered long after price is forgotten"".","One of the oldest Italian brands in operation, Gucci and luxury fashion go hand in hand. The brand started as leather luggage and equestrian accessory company. However, its phenomenal success motivated it to create new product lines covering clothing, accessories, jewelry, shoes, home decor, fragrances, and more.",Did anyone say high-quality and luxury fashion products? Look know where when Gucci is here.,"Brand: Gucci\nTagline: An Italian luxury brand which believes ""quality is remembered long after price is forgotten"".\nProductDescription: One of the oldest Italian brands in operation, Gucci and luxury fashion go hand in hand. The brand started as leather luggage and equestrian accessory company. However, its phenomenal success motivated it to create new product lines covering clothing, accessories, jewelry, shoes, home decor, fragrances, and more."
Landmark Group,"A multinational conglomerate, Landmark Group is a retail  enterprise that includes apparel, footwear, consumer electronics, cosmetics & beauty products, home improvement and baby products.","One of the world's largest retailers, Landmark Group is popular for transforming the offline shopping experience for all its consumers. The brand has spread its wings across several domains, including fashion, beauty, electronics, baby products, kitchen items, and bathroom items. From a toothbrush to a washing machine, from a safety pin to a sofa set, you can find and buy anything from the partner enterprises of Landmark Group.","All in One! 
Landmark Group is the place of retails where you find everything in one place, be it the kitchen, bedroom, fashion, beauty, or baby care.","Brand: Landmark Group\nTagline: A multinational conglomerate, Landmark Group is a retail  enterprise that includes apparel, footwear, consumer electronics, cosmetics & beauty products, home improvement and baby products.\nProductDescription: One of the world's largest retailers, Landmark Group is popular for transforming the offline shopping experience for all its consumers. The brand has spread its wings across several domains, including fashion, beauty, electronics, baby products, kitchen items, and bathroom items. From a toothbrush to a washing machine, from a safety pin to a sofa set, you can find and buy anything from the partner enterprises of Landmark Group."
Beyond Travel,"Leisure or adventure, we make your next travel plans fulfilling and memorable","One size fits all is an outdated concept in today's world. Beyond Travel knows that and curates travel plans tailored to the lifestyle of its clients. With a team of handpicked suppliers, Beyond Travel offers an exclusive worldwide network of travel partners to secure exclusive travel amenities for your specific travel needs.","Where Is Your Next Adventure? 
With Us!","Brand: Beyond Travel\nTagline: Leisure or adventure, we make your next travel plans fulfilling and memorable\nProductDescription: One size fits all is an outdated concept in today's world. Beyond Travel knows that and curates travel plans tailored to the lifestyle of its clients. With a team of handpicked suppliers, Beyond Travel offers an exclusive worldwide network of travel partners to secure exclusive travel amenities for your specific travel needs."
OnePlus,"It is a smartphone brand based in China that works on the tagline ""Never Settle"".",Oneplus is a Chinese manufacturer of consumer electronics based in Shenzhen. This new smartphone brand disrupted the mobile industry by creating top-notch and beautiful devices at reasonable prices. The brand's devices meet the highest customer expectations.,,"Brand: OnePlus\nTagline: It is a smartphone brand based in China that works on the tagline ""Never Settle"".\nProductDescription: Oneplus is a Chinese manufacturer of consumer electronics based in Shenzhen. This new smartphone brand disrupted the mobile industry by creating top-notch and beautiful devices at reasonable prices. The brand's devices meet the highest customer expectations."
Organic India,True wellness products with the highest quality and maximum purity of herbs.,"Organic India is a vehicle of consciousness carrying a holistic, sustainable, and healthy lifestyle to the entire world. It promotes true wellness and respect for all beings and mother nature. From its teas to herbal formulations, all the products are completely organic, genuine, and environment friendly.",Breathe easy with healthy and conscious living while connecting with nature.,"Brand: Organic India\nTagline: True wellness products with the highest quality and maximum purity of herbs.\nProductDescription: Organic India is a vehicle of consciousness carrying a holistic, sustainable, and healthy lifestyle to the entire world. It promotes true wellness and respect for all beings and mother nature. From its teas to herbal formulations, all the products are completely organic, genuine, and environment friendly."
Organic India,True wellness products with the highest quality and maximum purity of herbs.,"Organic India masters in complete body-care items to packaged food in the form of all everyday products. From planting the seeds to the delivery of all its products, Organic India is committed to setting new standards of quality. Its herbal formulations are organically certified with no side effects and are purely vegetarian.",Breathe easy with healthy and conscious living while connecting with nature.,"Brand: Organic India\nTagline: True wellness products with the highest quality and maximum purity of herbs.\nProductDescription: Organic India masters in complete body-care items to packaged food in the form of all everyday products. From planting the seeds to the delivery of all its products, Organic India is committed to setting new standards of quality. Its herbal formulations are organically certified with no side effects and are purely vegetarian."
Organic India,True wellness products with the highest quality and maximum purity of herbs.,"Organic India supports and promotes the principles of a clean way of living. It is a unique combination of products and services specially designed to allow you to cleanse and detoxify your body mind and spirit from the comfort of your home, while you carry on with your day-to-day life! The program includes pre-cleansing, followed by a regimen of the cleansing program, and finally the reintroduction of the food. All the products contain plant protein and herbs.",Breathe easy with healthy and conscious living while connecting with nature.,"Brand: Organic India\nTagline: True wellness products with the highest quality and maximum purity of herbs.\nProductDescription: Organic India supports and promotes the principles of a clean way of living. It is a unique combination of products and services specially designed to allow you to cleanse and detoxify your body mind and spirit from the comfort of your home, while you carry on with your day-to-day life! The program includes pre-cleansing, followed by a regimen of the cleansing program, and finally the reintroduction of the food. All the products contain plant protein and herbs."
Organic Nature Pizza Spices,"Add to the taste factor of your pizza, pasta, and bread – add a little fun with Organic Nature Pizza Spices. 

",Organic Nature Pizza Spices is an exquisite blend of natural flavors that go way too well with continental dishes. Even a little hint of these spices will give you the authentic restaurant feel sitting right at home. The Organic Nature Pizza Spices are hundred per cent vegan and contain no artificial colors and flavors. They are a treasure box of aromatic herbs ready to soothe your taste buds with an international edge.,Organic Nature Pizza Spices are your best friend for adding a touch of natural and exciting flavors to your dishes.,"Brand: Organic Nature Pizza Spices\nTagline: Add to the taste factor of your pizza, pasta, and bread – add a little fun with Organic Nature Pizza Spices. 

\nProductDescription: Organic Nature Pizza Spices is an exquisite blend of natural flavors that go way too well with continental dishes. Even a little hint of these spices will give you the authentic restaurant feel sitting right at home. The Organic Nature Pizza Spices are hundred per cent vegan and contain no artificial colors and flavors. They are a treasure box of aromatic herbs ready to soothe your taste buds with an international edge."
Royal Mail,"A top logistics brand in Great Britain, serving companies and customers across the UK as well as globally. ","Originally set up as a department of the English government in 1516, Royal Mail is a global logistics company. With a mission to become the best delivery company in the UK and across Europe, Royal Mail connects customers, companies, and communities. Their headquarters are located in London, UK. ","Connecting you and your loved ones since centuries, Royal Mail is your number 1 postal service and courier partner. ","Brand: Royal Mail\nTagline: A top logistics brand in Great Britain, serving companies and customers across the UK as well as globally. \nProductDescription: Originally set up as a department of the English government in 1516, Royal Mail is a global logistics company. With a mission to become the best delivery company in the UK and across Europe, Royal Mail connects customers, companies, and communities. Their headquarters are located in London, UK. "
Microsoft Outlook,Switch between your emails and calendar to schedule your next meeting or share your availability with anyone now in just a few taps! Find what you need with one search.,"Outlook helps you stay on top of your day with customized calendars and email capabilities. Its inbox management displays your most important messages first and enables swipe gestures and smart filters. Outlook can also be used as an organizer to coordinate schedules. With specific customizations, use suggested replies instead of typing message responses.","Easily organize all files in one application. With intelligent email, calendar reminders, and contacts, Outlook lets you do more from one powerful inbox.","Brand: Microsoft Outlook\nTagline: Switch between your emails and calendar to schedule your next meeting or share your availability with anyone now in just a few taps! Find what you need with one search.\nProductDescription: Outlook helps you stay on top of your day with customized calendars and email capabilities. Its inbox management displays your most important messages first and enables swipe gestures and smart filters. Outlook can also be used as an organizer to coordinate schedules. With specific customizations, use suggested replies instead of typing message responses."
Arihant Publication Ltd,"A reputable Indian publishing company that publishes textbooks, exam preparation books, resource books, and more.  ","Over the last two decades, Arihant Publications has become a big name in the education industry. They have published books that are tailor-made for specific competitive exams in Engineering, Medical, and other fields, using fresh prescribed practices and patterns. ",Got to ace that entrance exam? Arihant Publications are here to help you every step of the way.,"Brand: Arihant Publication Ltd\nTagline: A reputable Indian publishing company that publishes textbooks, exam preparation books, resource books, and more.  \nProductDescription: Over the last two decades, Arihant Publications has become a big name in the education industry. They have published books that are tailor-made for specific competitive exams in Engineering, Medical, and other fields, using fresh prescribed practices and patterns. "
Divaz,"Enhance your look with the right lingerie – DivaZ, the language of confidence.","Padded, wired, camisoles, tubes, everyday bras, or sportswear, every look and occasion calls for a style that compliments the beauty of your outfit. With DivaZ, you will get the support and comfort to own your confidence and grace. Give your style the statement it deserves – treat yourself with the DivaZ. ","Ease, style, and comfort – DivaZ lingerie collections are synonymous with beauty accompanied by quality and convenience.","Brand: Divaz\nTagline: Enhance your look with the right lingerie – DivaZ, the language of confidence.\nProductDescription: Padded, wired, camisoles, tubes, everyday bras, or sportswear, every look and occasion calls for a style that compliments the beauty of your outfit. With DivaZ, you will get the support and comfort to own your confidence and grace. Give your style the statement it deserves – treat yourself with the DivaZ. "
Asian Paints,Let your home shine with beauty; let Asian Paints work its magic on your heavenly abode.,"Painting the walls of your dream home is not a cakewalk. But with Asian Paints, you can simplify the entire process and experience convenience, quality, and professionalism. Our paints are available in a variety of shades and textures with premium coating, water resistance, and heat endurance. With our long-lasting shades, you can cherish your home with care. ",Shades? Check! Safety? Check! Quality? Check! How? With Asian Paints.,"Brand: Asian Paints\nTagline: Let your home shine with beauty; let Asian Paints work its magic on your heavenly abode.\nProductDescription: Painting the walls of your dream home is not a cakewalk. But with Asian Paints, you can simplify the entire process and experience convenience, quality, and professionalism. Our paints are available in a variety of shades and textures with premium coating, water resistance, and heat endurance. With our long-lasting shades, you can cherish your home with care. "
Paisabazaar.com,"From application to disbursal of loan or issuance of credit card, we make personal finance easy and convenient. Get monthly updates on your credit score, free!","Paisabazaar has invested in futuristic technologies of artificial intelligence and machine learning for working with India's leading banks, Non-Banking Financial Companies, and mutual fund houses. At Paisabazaar, they help you compare products, such as loans, insurance plans, and credit cards, offered by banks or financial institutions. They simply fine print and advice customers regarding their eligibility, repayment options, types of interest rates, and other parameters.",We make your tough decisions simple! Choose the financial products that suit your pocket and fulfill your needs. Compare all options and get the best deals.,"Brand: Paisabazaar.com\nTagline: From application to disbursal of loan or issuance of credit card, we make personal finance easy and convenient. Get monthly updates on your credit score, free!\nProductDescription: Paisabazaar has invested in futuristic technologies of artificial intelligence and machine learning for working with India's leading banks, Non-Banking Financial Companies, and mutual fund houses. At Paisabazaar, they help you compare products, such as loans, insurance plans, and credit cards, offered by banks or financial institutions. They simply fine print and advice customers regarding their eligibility, repayment options, types of interest rates, and other parameters."
Paisabazaar.com,"From application to disbursal of loan or issuance of credit card, we make personal finance easy and convenient. Get monthly updates on your credit score, free!",Paisabazaar is a virtual business support system of banks and financial institutions. It is a marketplace for loans and credit cards and offers a complete spectrum of lending and investment products for retail customers. It helps customers identify their needs accurately by factoring in their lifestyle and their life stage.,We make your tough decisions simple! Choose the financial products that suit your pocket and fulfill your needs. Compare all options and get the best deals.,"Brand: Paisabazaar.com\nTagline: From application to disbursal of loan or issuance of credit card, we make personal finance easy and convenient. Get monthly updates on your credit score, free!\nProductDescription: Paisabazaar is a virtual business support system of banks and financial institutions. It is a marketplace for loans and credit cards and offers a complete spectrum of lending and investment products for retail customers. It helps customers identify their needs accurately by factoring in their lifestyle and their life stage."
Paisabazaar.com,"From application to disbursal of loan or issuance of credit card, we make personal finance easy and convenient. Get monthly updates on your credit score, free!",Paisabazaar is an unbiased comparison portal for banking products. It offers round-the-clock customer support that helps customers plan their finances along with process-free documentations. It is a platform for all people who are very particular about their finances and creditworthiness as it offers free credit reports for life.,We make your tough decisions simple! Choose the financial products that suit your pocket and fulfill your needs. Compare all options and get the best deals.,"Brand: Paisabazaar.com\nTagline: From application to disbursal of loan or issuance of credit card, we make personal finance easy and convenient. Get monthly updates on your credit score, free!\nProductDescription: Paisabazaar is an unbiased comparison portal for banking products. It offers round-the-clock customer support that helps customers plan their finances along with process-free documentations. It is a platform for all people who are very particular about their finances and creditworthiness as it offers free credit reports for life."
Pampers,A diaper brand that help people say goodbye to compromise and hello to pure protection.,"Pampers is all about making every baby happy. The brand works extensively towards manufacturing the best diapers and wipes that help keep the baby dry, clean, and comfortable. Pampers creates its diapers with soft and breathable materials that help the baby move, play, and sleep peacefully.",Pampers - Where hygiene and love goes hand in hand.,"Brand: Pampers\nTagline: A diaper brand that help people say goodbye to compromise and hello to pure protection.\nProductDescription: Pampers is all about making every baby happy. The brand works extensively towards manufacturing the best diapers and wipes that help keep the baby dry, clean, and comfortable. Pampers creates its diapers with soft and breathable materials that help the baby move, play, and sleep peacefully."
Pandora,"Pandora is the largest jewllery brand in the world, with roots in Denmark, that is sold in more than 100 countries. ","Pandora is a Danish jewelry brand that sells sustainable jewellery without emptying your bank account. We design and make hand-finished contemporary jewellery, using high-quality materials. We provide perfect gifting options at affordable prices with our sparkling rings, necklaces, earrings, charms, and more.",Surprise your special someone with the finest jewellery from Pandora they can shine in.,"Brand: Pandora\nTagline: Pandora is the largest jewllery brand in the world, with roots in Denmark, that is sold in more than 100 countries. \nProductDescription: Pandora is a Danish jewelry brand that sells sustainable jewellery without emptying your bank account. We design and make hand-finished contemporary jewellery, using high-quality materials. We provide perfect gifting options at affordable prices with our sparkling rings, necklaces, earrings, charms, and more."
Pankhuri,A social app designed for women that is redefining sisterhood in India.,"Pankhuri is an online community that was started in 2019 by women and exclusively for women. It is a short video app where members can connect with other women, take courses and upskill, chat with experts, or just hang around in interest-based clubs.","At Pankhuri, rather than tearing each other down as women, we pick each other up.","Brand: Pankhuri\nTagline: A social app designed for women that is redefining sisterhood in India.\nProductDescription: Pankhuri is an online community that was started in 2019 by women and exclusively for women. It is a short video app where members can connect with other women, take courses and upskill, chat with experts, or just hang around in interest-based clubs."
Dunder Mifflin,"Dunder Mifflin - A paper company that meets all your paper needs with quality, trust, and excellence. ","Paper is the one resource that is ready for expressing your ideas. Dunder Mifflin believes in the importance of this expression and serves with the best quality bonds, executive paper, glossy sheets, and much more. We want your ideas to meet the premium quality they deserve. Let us help you find your way to the finest paper, and you can take it from there, turning your concepts into a revolution.",Get your hands on our premium multipurpose range of paper – experience perfection with Dunder Mifflin.,"Brand: Dunder Mifflin\nTagline: Dunder Mifflin - A paper company that meets all your paper needs with quality, trust, and excellence. \nProductDescription: Paper is the one resource that is ready for expressing your ideas. Dunder Mifflin believes in the importance of this expression and serves with the best quality bonds, executive paper, glossy sheets, and much more. We want your ideas to meet the premium quality they deserve. Let us help you find your way to the finest paper, and you can take it from there, turning your concepts into a revolution."
"
Paw Pals
",Want your four-legged cuties to get groomed in style? Paw Pals is all set to let the grooming begin!,"Paw Pals is a safe space for your pawed babies. Our groomers are all professionals with a minimum experience of three years. We deliver unparalleled services at the comfort of your home. Our groomers will not only help your pets get all cleaned up, but they will also clean the grooming area after the session. We have professional pet stylists who will turn your dream look for your pet into reality. All you need to do is pick your phone and make an appointment; Paw Pals will take care of the rest. ","Your fur babies need to get groomed with care, and Paw Pals delivers this care with quality and comfort.","Brand: 
Paw Pals
\nTagline: Want your four-legged cuties to get groomed in style? Paw Pals is all set to let the grooming begin!\nProductDescription: Paw Pals is a safe space for your pawed babies. Our groomers are all professionals with a minimum experience of three years. We deliver unparalleled services at the comfort of your home. Our groomers will not only help your pets get all cleaned up, but they will also clean the grooming area after the session. We have professional pet stylists who will turn your dream look for your pet into reality. All you need to do is pick your phone and make an appointment; Paw Pals will take care of the rest. "
Cred,A members-only credit card bill payment platform that rewards its users for clearing their bills on time.,"Paying your credit card bills on time and maintaining a good credit score is always a hassle. With CRED, clear your bills and earn rewards for every rupee on your bill. Enjoy the seamless bill payment experience through net banking, debit cards, and Unified Payment Interface (UPI). Join India's most trustworthy and creditworthy community.",Cred takes your money matters very seriously so that you don't have to. Never miss a due date with our regular reminders.,"Brand: Cred\nTagline: A members-only credit card bill payment platform that rewards its users for clearing their bills on time.\nProductDescription: Paying your credit card bills on time and maintaining a good credit score is always a hassle. With CRED, clear your bills and earn rewards for every rupee on your bill. Enjoy the seamless bill payment experience through net banking, debit cards, and Unified Payment Interface (UPI). Join India's most trustworthy and creditworthy community."
Payoneer,A commerce technology company that allows users to send and receive payments globally.,"Payoneer came into existence in 2005 and has turned out to be a trailblazer in digital commerce. It empowers global payments for any business and top digital companies like Amazon, Google, Walmart, and Airbnb have used Payoneer.","Don't confine yourself in borders. Go beyond them with Payoneer, the best solution to your international payment needs. ","Brand: Payoneer\nTagline: A commerce technology company that allows users to send and receive payments globally.\nProductDescription: Payoneer came into existence in 2005 and has turned out to be a trailblazer in digital commerce. It empowers global payments for any business and top digital companies like Amazon, Google, Walmart, and Airbnb have used Payoneer."
